Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Metaheuristic algorithms and their applications in performance optimization of cyber-physical systems having applications in logistics","International Journal of System Assurance Engineering and Management","","","","10.1007/s13198-023-02236-0","Monika SainiVijay Singh MaanAshish KumarDinesh Kumar Saini","2024","http://link.springer.com/article/10.1007/s13198-023-02236-0","Article"
"A new hybrid genetic algorithm for the capacitated vehicle routing problem","Journal of the Operational Research Society","","54","12","10.1057/palgrave.jors.2601635","J BergerM Barkaoui","2003","http://link.springer.com/article/10.1057/palgrave.jors.2601635","Article"
"A cluster-first route-second approach for the swap body vehicle routing problem","Annals of Operations Research","","253","2","10.1007/s10479-016-2233-1","Juan José Miranda-BrontBrian CurcioIsabel Méndez-DíazAgustín MonteroFederico PousaPaula Zabala","2017","http://link.springer.com/article/10.1007/s10479-016-2233-1","Article"
"Combining metaheuristics with mathematical programming, constraint programming and machine learning","4OR","","11","2","10.1007/s10288-013-0242-3","El-Ghazali Talbi","2013","http://link.springer.com/article/10.1007/s10288-013-0242-3","Article"
"Combining metaheuristics with mathematical programming, constraint programming and machine learning","Annals of Operations Research","","240","1","10.1007/s10479-015-2034-y","El-Ghazali Talbi","2016","http://link.springer.com/article/10.1007/s10479-015-2034-y","Article"
"A Self-Adaptive Heuristic Algorithm for Combinatorial Optimization Problems","International Journal of Computational Intelligence Systems","","7","5","10.1080/18756891.2014.966992","Cigdem Alabas-UsluBerna Dengiz","2014","http://link.springer.com/article/10.1080/18756891.2014.966992","Article"
"A review on the electric vehicle routing problems: Variants and algorithms","Frontiers of Engineering Management","","8","3","10.1007/s42524-021-0157-1","Hu QinXinxin SuTeng RenZhixing Luo","2021","http://link.springer.com/article/10.1007/s42524-021-0157-1","Article"
"Combining probabilistic algorithms, Constraint Programming and Lagrangian Relaxation to solve the Vehicle Routing Problem","Annals of Mathematics and Artificial Intelligence","","62","3 - 4","10.1007/s10472-011-9261-y","Daniel GuimaransRosa HerreroDaniel RieraAngel A. JuanJuan José Ramos","2011","http://link.springer.com/article/10.1007/s10472-011-9261-y","Article"
"An innovative waste management system in a smart city under stochastic optimization using vehicle routing problem","Soft Computing","","25","8","10.1007/s00500-021-05669-6","Navid AkbarpourAmirhossein Salehi-AmiriMostafa Hajiaghaei-KeshteliDiego Oliva","2021","http://link.springer.com/article/10.1007/s00500-021-05669-6","Article"
"A genetic column generation algorithm for sustainable spare part delivery: application to the Sydney DropPoint network","Annals of Operations Research","","290","1 - 2","10.1007/s10479-018-2911-2","Michelle DunbarSimon BelieresNagesh ShuklaMehrdad AmirghasemiPascal PerezNishikant Mishra","2020","http://link.springer.com/article/10.1007/s10479-018-2911-2","Article"
"Two hybrid metaheuristic approaches for the covering salesman problem","Neural Computing and Applications","","32","19","10.1007/s00521-020-04898-4","Venkatesh PandiriAlok SinghAndré Rossi","2020","http://link.springer.com/article/10.1007/s00521-020-04898-4","Article"
"A new approach for solution of vehicle routing problem with hard time window: an application in a supermarket chain","Sādhanā","","42","12","10.1007/s12046-017-0754-1","SERAP ERCAN CÖMERTHARUN REŞİT YAZGANİREM SERTVURANHANİFE ŞENGÜL","2017","http://link.springer.com/article/10.1007/s12046-017-0754-1","Article"
"A constraint relaxation-based algorithm for the load-dependent vehicle routing problem with time windows","Flexible Services and Manufacturing Journal","","31","2","10.1007/s10696-018-9323-0","Ran LiuZhibin Jiang","2019","http://link.springer.com/article/10.1007/s10696-018-9323-0","Article"
"An Iterated Local Search heuristic for the Heterogeneous Fleet Vehicle Routing Problem","Journal of Heuristics","","19","2","10.1007/s10732-011-9186-y","Puca Huachi Vaz PennaAnand SubramanianLuiz Satoru Ochi","2013","http://link.springer.com/article/10.1007/s10732-011-9186-y","Article"
"A survey of recent advances in vehicle routing problems","International Journal of System Assurance Engineering and Management","","9","1","10.1007/s13198-016-0493-4","Aderemi Oluyinka AdewumiOlawale Joshua Adeleke","2018","http://link.springer.com/article/10.1007/s13198-016-0493-4","Article"
"Variable neighborhood search for the stochastic and dynamic vehicle routing problem","Annals of Operations Research","","236","2","10.1007/s10479-015-1949-7","Briseida SarasolaKarl F. DoernerVerena SchmidEnrique Alba","2016","http://link.springer.com/article/10.1007/s10479-015-1949-7","Article"
"A reactive variable neighborhood tabu search for the heterogeneous fleet vehicle routing problem with time windows","Journal of Heuristics","","14","5","10.1007/s10732-007-9045-z","D. C. ParaskevopoulosP. P. RepoussisC. D. TarantilisG. IoannouG. P. Prastacos","2008","http://link.springer.com/article/10.1007/s10732-007-9045-z","Article"
"Hybrid whale optimization algorithm for enhanced routing of limited capacity vehicles in supply chain management","Scientific Reports","","14","1","10.1038/s41598-024-51359-2","Vu Hong Son PhamVan Nam NguyenNghiep Trinh Nguyen Dang","2024","http://link.springer.com/article/10.1038/s41598-024-51359-2","Article"
"A reactive tabu search algorithm for the vehicle routing problem with simultaneous pickups and deliveries","Journal of Combinatorial Optimization","","15","4","10.1007/s10878-007-9090-4","Niaz A. WassanA. Hameed WassanGábor Nagy","2008","http://link.springer.com/article/10.1007/s10878-007-9090-4","Article"
"Swarm intelligence-based hyper-heuristic for the vehicle routing problem with prioritized customers","Annals of Operations Research","","308","1 - 2","10.1007/s10479-020-03625-5","Abbas TarhiniKassem DanachAntoine Harfouche","2022","http://link.springer.com/article/10.1007/s10479-020-03625-5","Article"
"Special issue on vehicle routing and scheduling: recent trends and advances","Optimization Letters","","7","7","10.1007/s11590-012-0603-4","Panagiotis P. RepoussisChrysanthos E. Gounaris","2013","http://link.springer.com/article/10.1007/s11590-012-0603-4","Article"
"An optimization algorithm for a capacitated vehicle routing problem with time windows","Sādhanā","","41","5","10.1007/s12046-016-0488-5","Pinar Kirci","2016","http://link.springer.com/article/10.1007/s12046-016-0488-5","Article"
"Vehicle routing with compartments: applications, modelling and heuristics","OR Spectrum","","33","4","10.1007/s00291-010-0194-3","Ulrich DerigsJens GottliebJochen KalkoffMichael PiescheFranz RothlaufUlrich Vogel","2011","http://link.springer.com/article/10.1007/s00291-010-0194-3","Article"
"Local search-based metaheuristics for the split delivery vehicle routing
problem","Journal of the Operational Research Society","","61","9","10.1057/jors.2009.100","U DerigsB LiU Vogel","2010","http://link.springer.com/article/10.1057/jors.2009.100","Article"
"Tabu search techniques for the heterogeneous vehicle routing problem with time windows and carrier-dependent costs","Journal of Scheduling","","14","6","10.1007/s10951-010-0213-x","Sara CeschiaLuca Di GasperoAndrea Schaerf","2011","http://link.springer.com/article/10.1007/s10951-010-0213-x","Article"
"A rich vehicle routing problem dealing with perishable food: a case study","TOP","","22","2","10.1007/s11750-012-0266-4","Pedro AmorimSophie N. ParraghFabrício SperandioBernardo Almada-Lobo","2014","http://link.springer.com/article/10.1007/s11750-012-0266-4","Article"
"Designing routes for WEEE collection: the vehicle routing problem with split loads and date windows","Journal of Heuristics","","19","2","10.1007/s10732-011-9159-1","Julio Mar-OrtizJosé Luis González-VelardeBelarmino Adenso-Díaz","2013","http://link.springer.com/article/10.1007/s10732-011-9159-1","Article"
"Multi-workday vehicle routing problem with ergonomic consideration of physical workload","The International Journal of Advanced Manufacturing Technology","","76","9 - 12","10.1007/s00170-014-6407-1","Tarit RattanamaneeSuebsak NanthavanijAussadavut Dumrongsiri","2015","http://link.springer.com/article/10.1007/s00170-014-6407-1","Article"
"Waste collection routing: a survey on problems and methods","Central European Journal of Operations Research","","32","2","10.1007/s10100-023-00892-y","Christina HessAlina G. DragomirKarl F. DoernerDaniele Vigo","2024","http://link.springer.com/article/10.1007/s10100-023-00892-y","Article"
"A multistart iterated local search for the multitrip cumulative capacitated vehicle routing problem","Computational Optimization and Applications","","61","1","10.1007/s10589-014-9713-5","Juan Carlos RiveraH. Murat AfsarChristian Prins","2015","http://link.springer.com/article/10.1007/s10589-014-9713-5","Article"
"A mathematical model and a solving procedure for multi-depot vehicle routing problem with fuzzy time window and heterogeneous vehicle","The International Journal of Advanced Manufacturing Technology","","75","5 - 8","10.1007/s00170-014-6141-8","Mehdi AdelzadehVahid Mahdavi AslMehdi Koosha","2014","http://link.springer.com/article/10.1007/s00170-014-6141-8","Article"
"A city logistics system for freight transportation: integrating information technology and operational research","Operational Research","","22","5","10.1007/s12351-022-00695-0","Sotiris P. GayialisEvripidis P. KechagiasGrigorios D. Konstantakopoulos","2022","http://link.springer.com/article/10.1007/s12351-022-00695-0","Article"
"Metaheuristics in Combinatorial Optimization","Annals of Operations Research","","140","1","10.1007/s10479-005-3971-7","Michel GendreauJean-Yves Potvin","2005","http://link.springer.com/article/10.1007/s10479-005-3971-7","Article"
"A relax-and-repair heuristic for the Swap-Body Vehicle Routing Problem","Annals of Operations Research","","253","2","10.1007/s10479-015-2098-8","Nabil AbsiDiego CattaruzzaDominique FeilletSylvain Housseman","2017","http://link.springer.com/article/10.1007/s10479-015-2098-8","Article"
"Last mile deliveries with lockers: formulations and algorithms","Soft Computing","","27","18","10.1007/s00500-021-06592-6","Giovanni BuzzegaStefano Novellani","2023","http://link.springer.com/article/10.1007/s00500-021-06592-6","Article"
"Chemical reaction optimization with unified tabu search for the vehicle routing problem","Soft Computing","","21","21","10.1007/s00500-016-2200-4","Thu-Lan DamKenli LiPhilippe Fournier-Viger","2017","http://link.springer.com/article/10.1007/s00500-016-2200-4","Article"
"Ejection chain and filter-and-fan methods in combinatorial optimization","4OR","","4","4","10.1007/s10288-006-0029-x","Fred GloverCésar Rego","2006","http://link.springer.com/article/10.1007/s10288-006-0029-x","Article"
