"Authors","Author full names","Author(s) ID","Title","Year","Source title","Link","Abstract","Author Keywords"
"Pahlevani D.; Abbasi B.; Hearne J.W.; Eberhard A.","Pahlevani, Delaram (57056331200); Abbasi, Babak (14420854700); Hearne, John W. (7004743942); Eberhard, Andrew (7004921879)","57056331200; 14420854700; 7004743942; 7004921879","A cluster-based algorithm for home health care planning: A case study in Australia","2022","Transportation Research Part E: Logistics and Transportation Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137306795&doi=10.1016%2fj.tre.2022.102878&partnerID=40&md5=05a9073d63e5fce6e1b387bbfc39ac05","Home health care (HHC) refers to the delivery of social, medical and paramedical services to people in their homes. Caregivers are assigned and routed to perform various tasks such as personal care and household chores at the client's homes. Minimising the total cost and satisfying the client requirements and preferences are critical in HHC. In this paper, we present a mixed-integer linear programming model for HHC routing and scheduling problems, which considers fair and balanced workload allocation of caregivers while minimising the total cost and addressing the client's needs. Due to the complexity of the problem, using a commercial solver is not practical for real size instances. Therefore, we develop a multi-steps clustering approach using Ordering Points and Agglomerative Hierarchical Clustering to solve the model. The proposed solution approach is applied on several test instances to examine its performance. We also apply the proposed model and solution approach on a case study in Australia. © 2022 Elsevier Ltd","Clustering; Home health care; Scheduling; Time windows; Vehicle Routing Problem (VRP)"
"Huang S.-H.; Huang Y.-H.; Blazquez C.A.; Chen C.-Y.","Huang, Shan-Huen (35368427300); Huang, Ying-Hua (15729146800); Blazquez, Carola A. (7004004521); Chen, Chia-Yi (57429938600)","35368427300; 15729146800; 7004004521; 57429938600","Solving the vehicle routing problem with drone for delivery services using an ant colony optimization algorithm","2022","Advanced Engineering Informatics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123587242&doi=10.1016%2fj.aei.2022.101536&partnerID=40&md5=81f3da42e60fff4b614187e60db9ae9c","E-commerce and logistics companies are facing important challenges to satisfy the rapid growth of customer demands. Unmanned aerial vehicles such as drones are an emerging technology that are very useful to cope with rising customer expectations of fast, flexible, and reliable delivery services. Drones work in tandem with trucks to perform parcel delivery, which have proven to reduce costs, CO2 emissions, and delivery times. This research proposes a mixed integer programming formulation to address the Vehicle Routing Problem with Drone (VRPD) by assigning customers to drone-truck pairs, determining the number of dispatching drone-truck units, and obtaining optimal service routes while the fixed and travel costs of both vehicles are minimized. Given the NP-hard nature of the VRPD, an ant colony optimization (ACO) algorithm is elaborated to solve this problem. Two novel methods are proposed to investigate the efficiency of the drone-truck combination by allowing the drones to perform additional delivery services to only one feasible customer and also multiple feasible customers while the truck waits at a customer location. Experimental results show that the proposed ACO algorithm can effectively solve the VRDP for different size instances and different customer location distributions, and is successful in providing timely solutions for small test instances within 1% of the optimal solutions. Finally, experimentation also reveals that the ACO algorithm outperforms the classical VRP by obtaining cost-savings of over 30% for large instances. © 2022 Elsevier Ltd","Heuristic; Optimization; Unmanned aerial vehicle; Urban delivery; Vehicle routing problem"
"Abu-Monshar A.; Al-Bazi A.; Palade V.","Abu-Monshar, Anees (57216907582); Al-Bazi, Ammar (35098298500); Palade, Vasile (6701857025)","57216907582; 35098298500; 6701857025","An agent-based optimisation approach for vehicle routing problem with unique vehicle location and depot","2022","Expert Systems with Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121661236&doi=10.1016%2fj.eswa.2021.116370&partnerID=40&md5=fd612a5ed5c5fe52e8c3c37319c8fdb8","The Vehicle Routing Problem (VRP) is a well studied logistical problem along with its various variants such as VRP with customer Time-Window (VRPTW). However, all the previously studied variants assume that vehicles are mostly the same in terms of their capacity, location and home location (depot). This study uses the agent-based approach for solving VRPTW with vehicle's unique location and depot. This is to minimise the number of used vehicles as the main target. Other targets including total distance travelled, waiting time and time are also considered as criteria to evaluate the quality of the generated vehicle routes. This is achieved by proposing a Messaging Protocol-based Heuristics Optimisation (MPHO) model that balances between centrally-distributed agents’ interactions and accommodates certain priority rules specifically developed for the problem. Furthermore, modifications to certain constraints checking techniques are introduced by implementing time Push Forward (PF) checking recursively tailored to the route's unique start/ending locations as well as calculating the reduced waiting time to find and check the limit of the total route duration. In order to justify the superiority of the proposed MPHO model, numerical tests have been conducted on benchmark problems including single and multiple depot instances as well as modified instances tailored to the problem. This is made possible by randomising vehicles’ capacities and their unique locations and depots. Key results reveal that, in multiple depot instances, higher quality solutions compared with previous benchmark outcomes are obtained in terms of minimising the total number of vehicles along with fastest solution time (CPU) at the expense of total time and distance travelled. © 2021 Elsevier Ltd","Agent-based modelling; Hybrid messaging protocol; Optimisation; Unique vehicle location and depot; Vehicle Routing Problem"
"Prakash R.; Pushkar S.","Prakash, Ravi (57611760100); Pushkar, Shashank (56121106800)","57611760100; 56121106800","Green vehicle routing problem: Metaheuristic solution with time window","2022","Expert Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128275015&doi=10.1111%2fexsy.13007&partnerID=40&md5=34753813b3de8195506f414e7d18d3be","The aim of a Green Vehicle Routing Problem is to find an optimal route for alternative fuel vehicles to minimize the overall travelling distances while reducing energy consumption and CO2emissions. In this problem each vehicle handles a subset of customers/orders, leaving from and returning to the depot, with respect to maximum distance travelled, while minimizing energy consumptions. We proposed a time window-based GVRP solution (GVRP-TW) with exact routing approach. Wherein, each route serves a subset of customers/orders with minimum intermediate refuelling/recharges. To test our method, we conducted experiments using MATLAB software on a set of three reference problem specimens (C-101, R-101 and RC-11). Our approach, evaluated on these benchmark problems, par exceeds in performance in relation to the existing VRP methods (like tabu search, variable neighbourhood search, and GRASP). Moreover, the proposed GVRP-TW can be further optimized to solve other VRP problems with energy minimisations and less intermediate stops. © 2022 John Wiley & Sons Ltd.","alternative fuel vehicle; ant colony optimisation; energy minimisation; greedy randomized adaptive search procedure; green vehicle routing; metaheuristic solution; refuelling; tabu search; time windows; transportation costs; variable neighbourhood search; vehicle routing problem"
"Zeng F.; Chen Z.; Clarke J.-P.; Goldsman D.","Zeng, Fanruiqi (57219355577); Chen, Zaiwei (57221633023); Clarke, John-Paul (7403198259); Goldsman, David (7004244938)","57219355577; 57221633023; 7403198259; 7004244938","Nested vehicle routing problem: Optimizing drone-truck surveillance operations","2022","Transportation Research Part C: Emerging Technologies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127892380&doi=10.1016%2fj.trc.2022.103645&partnerID=40&md5=6692418aa07a8ffe2c7dcbd9f9d1b75f","Unmanned aerial vehicles or drones are becoming increasingly popular due to their low cost and high mobility. In this paper we address the routing and coordination of a drone-truck pairing where the drone travels to multiple locations to perform specified observation tasks and rendezvous periodically with the truck to swap its batteries. We refer to this as the Nested-Vehicle Routing Problem (Nested-VRP) and develop a Mixed Integer Quadratically Constrained Programming (MIQCP) formulation with critical operational constraints, including drone battery capacity and synchronization of both vehicles during scheduled rendezvous. An enhancement of the MIQCP model for the Nested-VRP is achieved by deriving the equivalent Mixed Integer Linear Programming (MILP) formulation as well as leveraging lifting and Reformulation-Linearization techniques to strengthen the subtour elimination constraints of the drone. Given the NP-hard nature of the Nested-VRP, we further propose an efficient neighborhood search (NS) heuristic where we generate and improve on a good initial solution by iteratively solving the Nested-VRP on a local scale. We provide comparisons of both the exact approaches based on MIQCP or its enhanced formulations and NS heuristic methods with a relaxation lower bound in the cases of small and large problem sizes, and present the results of a computational study to show the effectiveness of the MIQCP model and its variants as well as the efficiency of the NS heuristic, including for a real-life instance with 631 locations. We envision that this framework will facilitate the planning and operations of combined drone-truck missions. © 2022 Elsevier Ltd","Aerial surveillance; Cooperative vehicle routing; Mixed integer programming; Persistent operation; Unmanned aerial vehicle"
"Zuhanda M.K.; Suwilo S.; Sitompul O.S.; Mardiningsih","Zuhanda, Muhammad Khahfi (57204882999); Suwilo, Saib (6504683544); Sitompul, Opim Salim (46661988300); Mardiningsih (57192100322)","57204882999; 6504683544; 46661988300; 57192100322","A COMBINATION K-MEANS CLUSTERING AND 2-OPT ALGORITHM FOR SOLVING THE TWO ECHELON E-COMMERCE LOGISTIC DISTRIBUTION","2022","Logforum","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138287885&doi=10.17270%2fJ.LOG.2022.734&partnerID=40&md5=fbd5b76220db1a1cfc9dbc2f8aa73b60","Background: The rise of e-commerce in the community makes competition between logistics companies increasingly tight. Every e-commerce application offers the convenience and choices needed by the community. The Two-Echelon Vehicle Routing Problem (2E-VRP) model has been widely developed in recent years. 2E-VRP makes it possible for customers to combine shipments from several different stores due to satellites in their distribution stream. The aim of this paper is to optimize a two-echelon logistics distribution network for package delivery on e-commerce platforms, where vans operate in the first echelon and motorcycles operate in the second echelon. The problem is formulated as 2E-VRP, where total travel costs and fuel consumption are minimized. This optimization is based on determining the flow in each echelon and choosing the optimal routing solution for vans and motorcycles. Methods: This paper proposes a combination of the K-means Clustering Algorithm and the 2-opt Algorithm to solve the optimization problem. Many previous studies have used the K-means algorithm to help streamline the search for solutions. In the solution series, clustering is carried out between the satellite and the customer in the first echelon using the K-means algorithm. To determine the optimal k-cluster, we analyzed it using the silhouette, gap statistic, and elbow methods. Furthermore, the routing at each echelon is solved by the 2-opt heuristic method. At the end of the article, we present testing of several instances with the different number of clusters. The study results indicate an influence on the determination of the number of clusters in minimizing the objective function. Results: This paper looks at 100 customers, 10 satellites, and 1 depot. By working in two stages, the first stage is the resolution of satellite and customer problems, and the second stage is the resolution of problems between the satellite and the depots. We compare distance and cost solutions with a different number of k-clusters. From the test results, the number of k-clusters shows an effect of number and distance on the solution. Conclusions: In the 2E-VRP model, determining the location of the cluster between the satellite and the customer is very important in preparing the delivery schedule in logistics distribution within the city. The benefit is that the vehicle can divide the destination according to the location characteristics of the satellite and the customer, although setting the how many clusters do not guarantee obtaining the optimal distance. And the test results also show that the more satellites there are, the higher the shipping costs. For further research, we will try to complete the model with the metaheuristic genetic algorithm method and compare it with the 2-opt heuristic method. © 2022, Poznan School of Logistics. All rights reserved.","2-opt algorithm; e-commerce; K-means clustering; logistic distribution; two echelon vehicle routing problem"
"Sabet S.; Farooq B.","Sabet, Saba (57348046000); Farooq, Bilal (35573116600)","57348046000; 35573116600","Green Vehicle Routing Problem: State of the Art and Future Directions","2022","IEEE Access","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139453337&doi=10.1109%2fACCESS.2022.3208899&partnerID=40&md5=5d8555f4ad524d6322e8d3ad6da4fa00","Green vehicle routing problem (GVRP) aims to consider greenhouse gas emissions reduction, while routing the vehicles. It can be either through adopting Alternative Fuel Vehicles (AFVs) or with existing conventional fossil fuel vehicles in fleets. GVRP also takes into account environmental sustainability in transportation and logistics. We critically review several variations and specializations of GVRP to address issues related to charging, pick-up, delivery, and energy consumption. Starting with the concepts and definitions of GVRP, we summarize the key elements and contributors to GVRP publications. Afterward, the issues regarding each category of green vehicle routing are reviewed, based on which key future research directions and challenges are suggested. It was observed that the main focus of previous publications is on the operational level routing decision and not the supply chain issues. The majority of publications used metaheuristic methods, while overlooking the emerging machine learning methods. We envision that in addition to machine learning, reinforcement learning, distributed systems, internet of vehicles (IoV), and new fuel technologies have a strong role in developing the GVRP research further.  © 2013 IEEE.","Alternative fuel VRP; green vehicle routing problem; literature review; vehicle routing problem"
"Saksuriya P.; Likasiri C.","Saksuriya, Payakorn (57214918236); Likasiri, Chulin (6504828523)","57214918236; 6504828523","Hybrid Heuristic for Vehicle Routing Problem with Time Windows and Compatibility Constraints in Home Healthcare System","2022","Applied Sciences (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133241348&doi=10.3390%2fapp12136486&partnerID=40&md5=c00072caea8672788657e74b87313027","This work involves a heuristic for solving vehicle routing problems with time windows (VRPTW) with general compatibility-matching between customer/patient and server/caretaker constraints to capture the nature of systems such as caretakers’ home visiting systems or home healthcare (HHC) systems. Since any variation of VRPTW is more complicated than regular VRP, a specific, custom-made heuristic is needed to solve the problem. The heuristic proposed in this work is an efficient hybrid of a novice Local Search (LS), Ruin and Recreate procedure (R&R) and Particle Swarm Optimization (PSO). The proposed LS acts as the initial solution finder as well as the engine for finding a feasible/local optimum. While PSO helps in moving from current best solution to the next best solution, the R&R part allows the solution to be over-optimized and LS moves the solution back on the feasible side. To test our heuristic, we solved 56 benchmark instances of 25, 50, and 100 customers and found that our heuristics can find 52, 21, and 18 optimal cases, respectively. To fur-ther investigate the proficiency of our heuristic, we modified the benchmark instances to include compatibility constraints. The results show that our heuristic can reach the optimal solutions in 5 out of 56 instances. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","compatibility constraints; home healthcare system; time windows; vehicle routing problem"
"Wu Y.; Huang S.; Chen Y.","Wu, Yongzhong (55707413300); Huang, Simin (57221153892); Chen, Yu (57790416900)","55707413300; 57221153892; 57790416900","Large-scale vehicle routing problem with massive precedence and cluster constraints","2022","International Journal of Applied Decision Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133813086&doi=10.1504%2fIJADS.2022.123850&partnerID=40&md5=a806af897d4146a9e1c8069611f9745c","With the continuous development of the urban logistics industry, the vehicle routing problem (VRP) manifests in increasingly large-scale and complex scenarios. In this study, a realistic large-scale VRP with massive precedence and cluster constraints is studied. An artificial bee colony (ABC) algorithm is designed to solve the problem. A route repair procedure is devised to ensure the satisfaction of all the constraints in realistic-sized problems. The algorithms are used to solve a set of real instances for a courier company in China. For such large-scale problems, the improved ABC algorithm performs significantly better than the basic ABC algorithm without the route repair procedure. This study further analyses the sensitivity of the results to the values assigned to a series of weighting coefficients on the constraints and objectives. This provides the company with flexibility in its operations under different operating circumstances. Copyright © 2022 Inderscience Enterprises Ltd.","ABC; artificial bee colony; metaheuristic; multi-objective VRP; precedence and cluster constraints; route repair procedure"
"Amine Masmoudi M.; Mancini S.; Baldacci R.; Kuo Y.-H.","Amine Masmoudi, M. (57777184500); Mancini, Simona (36477249900); Baldacci, Roberto (6602371948); Kuo, Yong-Hong (57200538311)","57777184500; 36477249900; 6602371948; 57200538311","Vehicle routing problems with drones equipped with multi-package payload compartments","2022","Transportation Research Part E: Logistics and Transportation Review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133288709&doi=10.1016%2fj.tre.2022.102757&partnerID=40&md5=0fca090bc04c7ad459494e65d5442e8e","The vehicle routing problem with drones (VRP-D) consists of designing combined truck-drone routes and schedules to serve a set of customers with specific requests and time constraints. In this paper, VRP-D is extended to include a fleet of drones equipped with multi-package payload compartments to serve more customers on a single trip. Moreover, a drone can return to a truck, different from the one from which it started, to swap its depleted battery and/or to pick up more packages. This problem, denoted as VRP-D equipped with multi-package payload compartments (VRP-D-MC), aims to maximize total profit. In this work, an adaptive multi-start simulated annealing (AMS-SA) metaheuristic algorithm is proposed to efficiently solve this problem. Experimental results show that the proposed algorithm outperforms the current state-of-the-art algorithms for VRP-D in terms of solution quality. Extensive analyses have been conducted to provide managerial insights. The analyses carried out show (i) the benefits of using drones equipped with different compartment configurations, (ii) the incremental total profit obtainable using a combined truck-drone fleet rather than a fleet of trucks, (iii) the benefit of swapping drone battery while picking up the items to deliver, and (iv) the impact of the packages load on the consumption energy of battery drone. It is also demonstrated that the different intensification and diversification mechanisms adopted improve the convergence of the traditional SA. © 2022 Elsevier Ltd","Multi payload compartments; Multi start approach; Simulated Annealing; Vehicle routing problem with drones"
"Corona-Gutiérrez K.; Nucamendi-Guillén S.; Lalla-Ruiz E.","Corona-Gutiérrez, Karina (57698595500); Nucamendi-Guillén, Samuel (57191972691); Lalla-Ruiz, Eduardo (55255221400)","57698595500; 57191972691; 55255221400","Vehicle routing with cumulative objectives: A state of the art and analysis","2022","Computers and Industrial Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130369784&doi=10.1016%2fj.cie.2022.108054&partnerID=40&md5=f1f7a9dc882eadd4cc883a859e6f3f46","In the past decades, there has been an increasing body of research in vehicle routing problems involving cumulative costs. These problems consider cumulative objective functions such as the sum of arrival times to customers or the cumulative costs based on the vehicles’ load throughout the routes. This paper reviews this type of routing problem by means of the cumulative vehicle routing problem (Cum-VRP) and cumulative capacitated vehicle routing problem (CCVRP). In doing so, we present and discuss all related problem variants with regard to the different problem features proposed over time. Moreover, we provide an analysis of related papers concerning solution algorithms and used benchmark instances. Finally, an overview of the trends and promising areas for further research are also provided. © 2022 The Authors","Cumulative cost; Cumulative vehicle routing problems; Literature review; Quality of service; State-of-the-art analysis"
"Begić H.; Galić M.; Klanšek U.","Begić, Hana (57237188900); Galić, Mario (56368228100); Klanšek, Uroš (6505859520)","57237188900; 56368228100; 6505859520","Active BIM system for optimized multi-project ready-mix-concrete delivery","2023","Engineering, Construction and Architectural Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163298919&doi=10.1108%2fECAM-11-2022-1064&partnerID=40&md5=0f33e3d01954bf264b1ac45e0fc7ae86","Purpose: Ready-mix concrete delivery problem (RMCDP), a specific version of the vehicle routing problem (VRP), is a relevant supply-chain engineering task for construction management with various formulations and solving methods. This problem can range from a simple scenario involving one source, one material and one destination to a more challenging and complex case involving multiple sources, multiple materials and multiple destinations. This paper presents an Internet of Things (IoT)-supported active building information modeling (BIM) system for optimized multi-project ready-mix concrete (RMC) delivery. Design/methodology/approach: The presented system is BIM-based, IoT supported, dynamic and automatic input/output exchange to provide an optimal delivery program for multi-project ready-mix-concrete problem. The input parameters are extracted as real-time map-supported IoT data and transferred to the system via an application programming interface (API) into a mixed-integer linear programming (MILP) optimization model developed to perform the optimization. The obtained optimization results are further integrated into BIM by conventional project management tools. To demonstrate the features of the suggested system, an RMCDP example was applied to solve that included four building sites, seven eligible concrete plants and three necessary RMC mixtures. Findings: The system provides the optimum delivery schedule for multiple RMCs to multiple construction sites, as well as the optimum RMC quantities to be delivered, the quantities from each concrete plant that must be supplied, the best delivery routes, the optimum execution times for each construction site, and the total minimal costs, while also assuring the dynamic transfer of the optimized results back into the portfolio of multiple BIM projects. The system can generate as many solutions as needed by updating the real-time input parameters in terms of change of the routes, unit prices and availability of concrete plants. Originality/value: The suggested system allows dynamic adjustments during the optimization process, andis adaptable to changes in input data also considering the real-time input data. The system is based on spreadsheets, which are widely used and common tool that most stakeholders already utilize daily, while also providing the possibility to apply a more specialized tool. Based on this, the RMCDP can be solved using both conventional and advanced optimization software, enabling the system to handle even large-scale tasks as necessary. © 2023, Emerald Publishing Limited.","Active building information modeling; BIM; Internet of things; IoT; Multi-project environment; Optimization; Ready-mix-concrete delivery; RMC"
"Herrera-Granda I.D.; Martin-Barreiro C.; Herrera-Granda E.P.; Fernández-Fernández Y.; Peluffo-Ordoñez D.H.","Herrera-Granda, Israel D. (57202361880); Martin-Barreiro, Carlos (57219733203); Herrera-Granda, Erick P. (57205360700); Fernández-Fernández, Yasmany (57223082761); Peluffo-Ordoñez, Diego H. (35746975300)","57202361880; 57219733203; 57205360700; 57223082761; 35746975300","A HYBRID GENETIC ALGORITHM FOR OPTIMIZING URBAN DISTRIBUTION OF AUTO-PARTS BY A VERTEX ROUTING PROBLEM","2023","Investigacion Operacional","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159845745&partnerID=40&md5=67463fe4afc73bf93241e0e44707cba8","The present work designed and implemented a hybrid algorithm by combining the genetic algorithm meta-heuristics (GA) with the nearest neighbor algorithm (NN). We combined these algorithms to solve the Capacitated Vehicle Routing Problem with Time Windows and a single depot (CVRPTW). The proposed implementation optimizes the distribution for an auto-part trading company within the urban perimeter of Quito city – Ecuador, by designing a script coded in C# language. Besides, to evaluate the quality of the solutions generated by the proposed hybrid algorithm, different instances of the problem were built by taking small samples from the whole customer's information. To compare the performance of our algorithm, we used a VRPTW model encoded in GAMS. In addition, we applied the problem from the case-study company in real instances. As a result, the generated sequences of the routes travelled by the trucks reach an improvement of close to 20%. We calculated that percentage using the Euclidean metric. © 2023 Universidad de La Habana. All rights reserved.","Distribution of auto parts; Genetic algorithms; Heuristic; Urban logistics; VRP"
"Cai X.; Jiang L.; Guo S.; Huang H.; Du H.","Cai, Xuhong (57220891772); Jiang, Li (57220900398); Guo, Songhu (57220901597); Huang, Hejiao (36480059100); Du, Hongwei (7201901229)","57220891772; 57220900398; 57220901597; 36480059100; 7201901229","TLHSA and SACA: two heuristic algorithms for two variant VRP models","2022","Journal of Combinatorial Optimization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119061467&doi=10.1007%2fs10878-021-00831-0&partnerID=40&md5=111bd549d5a9b09c690d0b5fc24451cb","Vehicle routing problem (VRP) is a classical combinatorial optimization problem. Under this problem, we focus on two variant models which better capture the real-world scenes: multiple-orders pickup and delivery problem with time-bound window (MOPDPTW) and dynamic vehicle routing problem with time window (DVRPTW). To tackle MOPDPTW, a two-layers heuristic search algorithm is proposed. The inner layer of proposed algorithm searches possible solutions in global and sends them to the outer layer to find local optimal solution. In order to solve DVRPTW, a general dynamical algorithm framework is designed to tackle the dynamic nature of the problem. Then based on ant colony algorithm, we propose several effective strategies called pheromone preserving mechanism, pheromone updating based on important solution components and parameter self-adaptive adjustment, aiming to improve the solution construction process by ants. We validate our two algorithms on different standard benchmarks and the results indicate that our proposed algorithms are competitive and effective compared with the state-of-the-art approaches. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","DVRPTW; Dynamical algorithm framework; MOPDPTW; Pheromone updating; Two-layers heuristic search"
"Wen M.; Sun W.; Yu Y.; Tang J.; Ikou K.","Wen, Muyang (57890480000); Sun, Wei (56505924300); Yu, Yang (57197518823); Tang, Jiafu (55804452600); Ikou, Kaku (57890255800)","57890480000; 56505924300; 57197518823; 55804452600; 57890255800","An adaptive large neighborhood search for the larger-scale multi depot green vehicle routing problem with time windows","2022","Journal of Cleaner Production","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138071943&doi=10.1016%2fj.jclepro.2022.133916&partnerID=40&md5=6b046c00bb1d75a2d2c16373adac0f22","Global warming is a serious problem presently faced by human society, and CO2 is a major concern as a greenhouse gas (GHG), especially as the amount of atmospheric CO2 has been steadily increasing in recent years. Multi-depot model of vehicle routing has sparked widespread interest among researchers as an effective means of reducing cost comprising carbon emissions, fuel consumption, vehicles rental, and driver salaries. In this paper, we developed an improved adaptive large neighborhood search (ALNS) algorithm to efficiently solve large-scale instances of the multi-depot green vehicle routing problem with time windows (MDGVRPTW), based on the characteristics of the multi-depot model, and the formulation of carbon emissions from customers. For the destroy operation, three problem-specific destroy operators that took advantage of the structure of the multi-depot model and the calculation formula of carbon emissions, were deliberately tailored for the MDGVRPTW. The operators could rapidly remove customers causing significant carbon emissions, which enabled these customers to be better positioned in future repair operations. For the repair operation, a noise-greedy repair operator was proposed to enhance the diversification capabilities of the ALNS. Additionally, two methods for speeding up the repair process were proposed to improve computational time. Computational experiments revealed that the proposed ALNS algorithm exhibited a significant improvement in calculation speed and accuracy compared with existing algorithms. © 2022","Adaptive large neighborhood search (ALNS) algorithm; Carbon emissions; Vehicle routing problem (VRP)"
"Voigt S.; Frank M.; Fontaine P.; Kuhn H.","Voigt, Stefan (57223853131); Frank, Markus (57221617619); Fontaine, Pirmin (56377230600); Kuhn, Heinrich (7402259452)","57223853131; 57221617619; 56377230600; 7402259452","Hybrid adaptive large neighborhood search for vehicle routing problems with depot location decisions","2022","Computers and Operations Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131667284&doi=10.1016%2fj.cor.2022.105856&partnerID=40&md5=2e30a340e2f907a4ae18fad24ff68723","This article considers three variants of the vehicle routing problem (VRP). These variants determine the respective depot locations from which customers are supplied, i.e., the two-echelon VRP (2E-VRP), the location routing problem (LRP), and the multi-depot VRP (MDVRP). Both the LRP and the MDVRP can be formulated as special cases of the 2E-VRP, so that all three problem classes can be readily solved via a single solution approach. We develop such a unified solution approach for all three problem classes based on the recently proposed hybrid adaptive large neighborhood search (HALNS). The HALNS uses a population of solutions generated by an efficient ALNS. Individuals of this population are subject to a crossover and selection phase, using elements of genetic algorithms resulting in a hybrid heuristic. Computational experiments on several sets of instances from literature demonstrate the competitive performance of the HALNS. The HALNS outperforms all approaches for solving the 2E-VRP and is on par with heuristics that are dedicated either to the LRP or the MDVRP. Furthermore, the HALNS shows superior robustness, i.e., the variance of results from several runs is comparatively low. The HALNS especially outperforms all existing pure ALNS implementations on these problem classes, demonstrating the value of hybridization. Additionally, the HALNS finds three new best-known solutions for LRP instances. © 2022 Elsevier Ltd","Adaptive large neighborhood search; Location routing problem; Metaheuristics; Multi-depot vehicle routing problem; Two-echelon vehicle routing problem"
"Kyriakakis N.A.; Stamadianos T.; Marinaki M.; Marinakis Y.","Kyriakakis, Nikolaos A. (57224449781); Stamadianos, Themistoklis (57721848500); Marinaki, Magdalene (6602325926); Marinakis, Yannis (9278217800)","57224449781; 57721848500; 6602325926; 9278217800","The electric vehicle routing problem with drones: An energy minimization approach for aerial deliveries","2022","Cleaner Logistics and Supply Chain","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134743552&doi=10.1016%2fj.clscn.2022.100041&partnerID=40&md5=4849538fa156fe6131335c39f6f73cc9","This paper introduces the Electric Vehicle Routing Problem with Drones (EVRPD), the first VRP combining electric ground vehicles (EVs) with unmanned aerial vehicles (UAVs), also known as drones, in order to deliver packages to customers. The problem's objective is to minimize the total energy consumption, focusing on the main non-constant and controllable factor of energy consumption on a delivery vehicle, the payload weight. The problem considers same-sized packages, belonging to different weight classes. EVs serve as motherships, from which drones are deployed to deliver the packages. Drones can carry multiple packages, up to a certain weight limit and their range is depended on their payload weight. For solving the EVRPD, four algorithms of the Ant Colony Optimization framework are implemented, two versions of the Ant Colony System and the Min–Max Ant System. A Variable Neighborhood Descent algorithm is utilized in all variants as a local search procedure. Instances for the EVRPD are created based on the two-echelon VRP literature and are used to test the proposed algorithms. Their computational results are compared and discussed. Practical, real-life scenarios of the EVRPD application are also presented and solved. © 2022 The Authors","Ant colony optimization; Drones; Electric vehicle; Unmanned aerial vehicle routing"
"Lin K.; Nurmaya Musa S.; Yap H.J.","Lin, Keyong (57452705000); Nurmaya Musa, S. (56288667900); Yap, Hwa Jen (35319362200)","57452705000; 56288667900; 35319362200","Vehicle Routing Optimization for Pandemic Containment: A Systematic Review on Applications and Solution Approaches","2022","Sustainability (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124608742&doi=10.3390%2fsu14042053&partnerID=40&md5=b479e2b1ce531c72bffe3c293c805351","The global spread of the novel coronavirus (COVID-19) has accounted for many deaths. The effective containment of the current COVID-19 epidemic calls for a fast and sustainable delivery strategy to minimize the impact of this crisis. As such, this study aimed to conduct a comprehensive review of research on the vehicle routing problem (VRP) from a sustainable viewpoint during the pandemic and explore viable delivery solutions that may aid in the containment of the COVID-19 pandemic. Through a systematic review of the selected articles, four broad themes of pandemic containment measures from the delivery aspect were identified: efficient pharmaceutical delivery strategy, contactless distribution, sustainable waste transportation strategy, and isolated and quarantine vehicle scheduling. Following that, the methodology utilized to execute the containment measures were analyzed, research gaps were hightlighted, and possibilities for future studies were suggested. In summary, the goal of this research is to provide an overview of the literature on the application of VRPs in pandemic control and to assist academics and practitioners in learning more about the performance metrics, models, and solution techniques utilized in pandemic control delivery operations. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Containment measures; COVID-19; Literature review; Sustainable development; Transportation planning; VRP"
